date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/02/2021,ARKG,"TELADOC HEALTH INC",TDOC,87918A105,"4,326,263","$655,558,632.39",8.76%
11/02/2021,ARKG,"EXACT SCIENCES CORP",EXAS,30063P105,"4,393,712","$428,123,297.28",5.72%
11/02/2021,ARKG,"PACIFIC BIOSCIENCES OF CALIF",PACB,69404D108,"14,517,012","$401,830,892.16",5.37%
11/02/2021,ARKG,"IONIS PHARMACEUTICALS INC",IONS,462222100,"8,546,351","$282,029,583.00",3.77%
11/02/2021,ARKG,"TWIST BIOSCIENCE CORP",TWST,90184D100,"2,214,024","$280,915,365.12",3.76%
11/02/2021,ARKG,"FATE THERAPEUTICS INC",FATE,31189P102,"4,810,425","$277,850,148.00",3.71%
11/02/2021,ARKG,"VERTEX PHARMACEUTICALS INC",VRTX,92532F100,"1,466,531","$271,894,847.40",3.63%
11/02/2021,ARKG,"INTELLIA THERAPEUTICS INC",NTLA,45826J105,"1,718,056","$234,531,824.56",3.14%
11/02/2021,ARKG,"ACCOLADE INC",ACCD,00437E102,"5,606,343","$226,159,876.62",3.02%
11/02/2021,ARKG,"GINKGO BIOWORKS HOLDINGS INC",DNA,37611X100,"15,844,658","$218,497,833.82",2.92%
11/02/2021,ARKG,"BEAM THERAPEUTICS INC",BEAM,07373V105,"2,282,298","$215,677,161.00",2.88%
11/02/2021,ARKG,"CRISPR THERAPEUTICS AG",CRSP,H17182108,"2,215,446","$211,486,475.16",2.83%
11/02/2021,ARKG,"CAREDX INC",CDNA,14167L103,"4,140,303","$210,037,571.19",2.81%
11/02/2021,ARKG,"INCYTE CORP",INCY,45337C102,"2,884,401","$200,033,209.35",2.67%
11/02/2021,ARKG,"REGENERON PHARMACEUTICALS",REGN,75886F107,"296,958","$189,800,705.70",2.54%
11/02/2021,ARKG,"ADAPTIVE BIOTECHNOLOGIES",ADPT,00650F109,"5,206,213","$183,987,567.42",2.46%
11/02/2021,ARKG,"TAKEDA PHARMACEUTIC-SP ADR","TAK UN",874060205,"12,553,971","$179,145,166.17",2.39%
11/02/2021,ARKG,"INVITAE CORP",NVTA,46185L103,"6,057,506","$169,004,417.40",2.26%
11/02/2021,ARKG,"CODEXIS INC",CDXS,192005106,"4,897,004","$164,441,394.32",2.20%
