date,fund,company,ticker,cusip,shares,"market value ($)","weight (%)"
11/03/2021,ARKW,"TESLA INC",TSLA,88160R101,"554,970","$650,424,840.00",11.63%
11/03/2021,ARKW,"GRAYSCALE BITCOIN TRUST BTC",GBTC,389637109,"7,905,737","$398,923,489.02",7.13%
11/03/2021,ARKW,"COINBASE GLOBAL INC -CLASS A",COIN,19260Q107,"1,074,878","$361,524,466.52",6.46%
11/03/2021,ARKW,"TELADOC HEALTH INC",TDOC,87918A105,"2,060,231","$303,719,254.02",5.43%
11/03/2021,ARKW,"TWITTER INC",TWTR,90184L102,"5,054,877","$272,912,809.23",4.88%
11/03/2021,ARKW,"SPOTIFY TECHNOLOGY SA",SPOT,L8681T102,"858,377","$255,968,021.40",4.58%
11/03/2021,ARKW,"ROKU INC",ROKU,77543R102,"736,606","$230,859,686.46",4.13%
11/03/2021,ARKW,"SQUARE INC - A",SQ,852234103,"855,470","$213,020,584.70",3.81%
11/03/2021,ARKW,"SHOPIFY INC - CLASS A",SHOP,82509L107,"142,717","$210,741,630.88",3.77%
11/03/2021,ARKW,"ZOOM VIDEO COMMUNICATIONS-A",ZM,98980L101,"740,543","$207,566,797.47",3.71%
11/03/2021,ARKW,"UNITY SOFTWARE INC",U,91332U101,"1,376,091","$197,991,973.08",3.54%
11/03/2021,ARKW,"DRAFTKINGS INC - CL A",DKNG,26142R104,"3,797,172","$180,745,387.20",3.23%
11/03/2021,ARKW,"TWILIO INC - A",TWLO,90138F102,"565,776","$169,772,404.32",3.03%
11/03/2021,ARKW,"UIPATH INC - CLASS A",PATH,90364P105,"2,431,982","$128,189,771.22",2.29%
11/03/2021,ARKW,"ZILLOW GROUP INC - C",Z,98954M200,"1,321,220","$115,210,384.00",2.06%
11/03/2021,ARKW,"PALANTIR TECHNOLOGIES INC-A",PLTR,69608A108,"4,358,749","$112,978,774.08",2.02%
11/03/2021,ARKW,"ROBLOX CORP -CLASS A",RBLX,771049103,"1,269,129","$101,009,977.11",1.81%
11/03/2021,ARKW,"META PLATFORMS INC",FB,30303M102,"283,553","$93,028,068.24",1.66%
11/03/2021,ARKW,"ROBINHOOD MARKETS INC - A",HOOD,770700102,"2,654,267","$92,872,802.33",1.66%
11/03/2021,ARKW,"SPLUNK INC",SPLK,848637104,"551,984","$91,066,320.32",1.63%
11/03/2021,ARKW,"CLOUDFLARE INC - CLASS A",NET,18915M107,"456,886","$87,891,159.82",1.57%
11/03/2021,ARKW,"ETSY INC",ETSY,29786A106,"353,504","$85,063,667.52",1.52%
11/03/2021,ARKW,"SKILLZ INC",SKLZ,83067L109,"6,968,428","$80,903,449.08",1.45%
11/03/2021,ARKW,"GENIUS SPORTS LTD",GENI,G3934V109,"3,987,356","$74,563,557.20",1.33%
11/03/2021,ARKW,"PAGERDUTY INC",PD,69553P100,"1,746,336","$71,896,653.12",1.29%
11/03/2021,ARKW,"LIVEPERSON INC",LPSN,538146101,"1,341,945","$68,989,392.45",1.23%
11/03/2021,ARKW,"WALT DISNEY CO/THE",DIS,254687106,"385,644","$65,493,920.52",1.17%
11/03/2021,ARKW,"VUZIX CORP",VUZI,92921W300,"5,117,116","$64,680,346.24",1.16%
11/03/2021,ARKW,"SEA LTD-ADR",SE,81141R100,"171,068","$61,623,825.64",1.10%
11/03/2021,ARKW,"VERACYTE INC",VCYT,92337F107,"1,125,582","$59,126,822.46",1.06%
11/03/2021,ARKW,"DOCUSIGN INC",DOCU,256163106,"205,866","$58,025,390.76",1.04%
11/03/2021,ARKW,"OKTA INC",OKTA,679295105,"220,715","$55,995,395.50",1.00%
11/03/2021,ARKW,"FARFETCH LTD-CLASS A",FTCH,30744W107,"1,386,527","$54,102,283.54",0.97%
11/03/2021,ARKW,"SNAP INC - A",SNAP,83304A106,"1,002,079","$52,308,523.80",0.94%
11/03/2021,ARKW,"KHOSLA VENTURES ACQUISITIO-A",KVSB,482505104,"4,645,234","$50,633,050.60",0.91%
11/03/2021,ARKW,"ADYEN NV-UNSPON ADR",ADYEY,00783V104,"1,542,082","$46,432,089.02",0.83%
11/03/2021,ARKW,"MERCADOLIBRE INC",MELI,58733R102,"27,739","$41,850,106.69",0.75%
